"Title","Date","Location","Mashup"
"Tim McGraw",2023-03-17,"Glendale",NA
"Tim McGraw",2024-03-09,"Singapore","(mashup with ""cowboy like me"")"
"Tim McGraw",2024-10-18,"Miami","(mashup with ""Timeless"")"
"Picture To Burn",2023-07-14,"Denver",NA
"Teardrops On My Guitar",2023-05-05,"Nashville",NA
"Teardrops On My Guitar",2024-02-18,"Melbourne",NA
"Teardrops On My Guitar",2024-07-23,"Hamburg","(mashup with ""The Last Time"")"
"A Place in this World",2023-04-22,"Houston",NA
"A Place in this World",2024-12-08,"Vancouver","(mashup with ""New Romantics"")"
"Cold As You",NA,"Houston",NA
"Cold As You",2024-11-01,"Indianapolis","(mashup with ""exile"")"
"The Outside",2024-02-09,"Tokyo",NA
"Tied Together with a Smile",2023-07-23,"Seattle",NA
"Stay Beautiful",2023-11-17,"Rio de Janeiro",NA
"Should've Said No",2023-05-19,"Foxborough",NA
"Should've Said No",2024-02-24,"Sydney","(mashup with ""You're Not Sorry"")"
"Should've Said No",2024-10-19,"Miami","(mashup with ""I Did Something Bad"")"
"Mary's Song (Oh My My My)",2024-07-06,"Amsterdam","(mashup with ""So High School"" and ""Everything Has Changed"")"
"Our Song",2023-03-24,"Las Vegas",NA
"Our Song",2023-08-04,"Los Angeles",NA
"Our Song",2024-05-30,"Madrid","(mashup with ""Jump Then Fall"")"
"Our Song",2024-10-25,"New Orleans","(mashup with ""Call It What You Want"")"
"I'm Only Me When I'm With You",2023-06-30,"Cincinnati",NA
"Invisible",2023-05-20,"Foxborough",NA
"A Perfectly Good Heart",2024-07-10,"Zurich","(mashup with ""closure"")"
"Fifteen",2023-05-06,"Nashville",NA
"Fifteen",2024-03-07,"Singapore","(mashup with ""You're On Your Own, Kid"")"
"Fifteen",2024-06-02,"Lyon","(mashup with ""You're On Your Own, Kid"")"
"Hey Stephen",2023-05-14,"Philadelphia",NA
"Hey Stephen",2024-05-11,"Paris",NA
"Hey Stephen",2024-07-18,"Gelsenkirchen","(mashup with ""Speak Now"")"
"White Horse",2023-03-25,"Las Vegas",NA
"White Horse",2024-02-23,"Sydney","(mashup with ""coney island"")"
"White Horse",2024-10-19,"Miami","(mashup with ""loml"")"
"Breathe",2023-06-10,"Detroit",NA
"Tell Me Why",2023-08-25,"Mexico City",NA
"Tell Me Why",2024-03-04,"Singapore","(mashup with ""Foolish One"")"
"You're Not Sorry",2023-04-21,"Houston",NA
"You're Not Sorry",2024-02-24,"Sydney","(mashup with ""Should've Said No"")"
"The Way I Loved You",2024-05-24,"Lisbon","(mashup with ""Come Back...Be Here"" and ""The Other Side Of The Door"")"
"Forever & Always",2023-05-13,"Philadelphia",NA
"Forever & Always",2024-02-26,"Sydney","(mashup with ""Maroon"")"
"The Best Day",2023-05-14,"Philadelphia",NA
"The Best Day",2024-12-07,"Vancouver","(mashup with ""Never Grow Up"")"
"Change",2024-08-19,"London","(mashup with ""Long Live"")"
"Jump Then Fall",NA,"Arlington",NA
"Jump Then Fall",2024-05-30,"Madrid","(mashup with ""Our Song"")"
"Untouchable",2023-11-25,"São Paulo",NA
"Untouchable",2024-07-04,"Amsterdam","(mashup with ""Guilty as Sin?"")"
"Come In With The Rain",2024-02-10,"Tokyo",NA
"Superstar",2024-07-17,"Gelsenkirchen","(mashup with ""invisible string"")"
"The Other Side Of The Door",2023-04-28,"Atlanta",NA
"The Other Side Of The Door",2024-02-17,"Melbourne","(mashup with ""Getaway Car"" and ""august"")"
"The Other Side Of The Door",2024-05-24,"Lisbon","(mashup with ""Come Back...Be Here"" and ""The Way I Loved You"")"
"Today Was A Fairytale",2023-04-22,"Houston",NA
"Today Was A Fairytale",2024-08-03,"Warsaw","(mashup with ""I Think He Knows"")"
"You All Over Me",2023-06-03,"Chicago",NA
"Mr. Perfectly Fine",2023-06-16,"Pittsburgh",NA
"Mr. Perfectly Fine",2024-07-14,"Milan","(mashup with ""Red"")"
"Mr. Perfectly Fine",2024-11-21,"Toronto","(mashup with ""Better Than Revenge"")"
"We Were Happy",2024-07-23,"Hamburg","(mashup with ""happiness"")"
"That's When",NA,NA,NA
"Don't You",2024-07-28,"Munich","(mashup with ""loml"")"
"Bye Bye Baby",NA,NA,NA
"If This Was A Movie",2023-06-23,"Minneapolis",NA
"Mine",2023-05-07,"Nashville",NA
"Mine",2024-03-02,"Singapore","(mashup with ""Starlight"")"
"Mine",2024-06-13,"Liverpool","(mashup with ""I Can See You"")"
"Mine",2024-11-15,"Toronto","(mashup with ""I Don't Wanna Live Forever"")"
"Sparks Fly",2023-05-05,"Nashville",NA
"Sparks Fly",2024-03-08,"Singapore","(mashup with ""gold rush"")"
"Sparks Fly",2024-05-29,"Toronto","(mashup with ""I Can Fix Him (No Really I Can)"
"Back To December",2023-07-15,"Denver",NA
"Speak Now",2023-04-13,"Tampa",NA
"Speak Now",2024-07-18,"Gelsenkirchen","(mashup with ""Hey Stephen"")"
"Dear John",2023-06-24,"Minneapolis",NA
"Dear John",2024-08-16,"London","(mashup with ""Sad Beautiful Tragic"")"
"Mean",2023-04-15,"Tampa",NA
"Mean",2024-06-22,"London","(mashup with ""thanK you aIMee"")"
"The Story Of Us",2023-06-17,"Pittsburgh",NA
"The Story Of Us",2024-03-03,"Singapore","(mashup with ""long story short"")"
"Never Grow Up",2023-07-07,"Kansas City",NA
"Never Grow Up",2024-07-10,"Zurich","(mashup with ""Robin"")"
"Never Grow Up",2024-12-07,"Vancouver","(mashup with ""The Best Day"")"
"Better Than Revenge",2023-11-12,"Buenos Aires",NA
"Better Than Revenge",2024-11-21,"Toronto","(mashup with ""Mr. Perfectly Fine"")"
"Innocent",2023-11-24,"São Paulo",NA
"Haunted",2023-06-09,"Detroit",NA
"Haunted",2024-02-25,"Sydney","(mashup with ""exile"")"
"Haunted",2024-06-09,"Edinburgh","(mashup with ""exile"")"
"Haunted",2024-10-25,"New Orleans","(mashup with ""The Black Dog"")"
"Haunted",2024-12-07,"Vancouver","(mashup with ""Wonderland"")"
"Last Kiss",2023-07-08,"Kansas City",NA
"Last Kiss",2024-07-09,"Zurich","(mashup with ""Sad Beautiful Tragic"")"
"Last Kiss",2024-12-08,"Vancouver","(mashup with ""I Love You, I'm Sorry)"
"Long Live",2024-05-25,"Lisbon","(mashup with ""You're On Your Own, Kid"")"
"Long Live",2024-08-19,"London","(mashup with ""Change"")"
"Long Live",2024-12-08,"Vancouver","(mashup with ""New Year's Day"" and ""The Manuscript"")"
"Ours",2023-03-31,"Arlington",NA
"Ours",2024-06-29,"Dublin","(mashup with ""This Love"")"
"Ours",2024-11-22,"Toronto","(mashup with ""the last great american dynasty"")"
"Superman",2024-02-09,"Tokyo",NA
"Electric Touch",2024-02-08,"Tokyo",NA
"When Emma Falls in Love",2023-07-07,"Kansas City",NA
"I Can See You",2023-08-03,"Los Angeles",NA
