"Title","2023","2024","Notes"
"Tim McGraw",1,2,"03/17/23 - Glendale"
"Tim McGraw",NA,NA,"03/09/24 - Singapore (mashup with ""cowboy like me"")"
"Tim McGraw",NA,NA,"10/18/24 - Miami (mashup with ""Timeless"")"
"Picture To Burn",1,0,"07/14/23 - Denver"
"Teardrops On My Guitar",1,2,"05/05/23 - Nashville"
"Teardrops On My Guitar",NA,NA,"02/18/24 - Melbourne"
"Teardrops On My Guitar",NA,NA,"07/23/24 - Hamburg (mashup with ""The Last Time"")"
"A Place in this World",1,1,"04/22/23 - Houston"
"A Place in this World",NA,NA,"12/08/24 - Vancouver (mashup with ""New Romantics"")"
"Cold As You",1,1,"4/23/23 - Houston"
"Cold As You",NA,NA,"11/01/24 - Indianapolis (mashup with ""exile"")"
"The Outside",0,1,"02/09/24 - Tokyo"
"Tied Together with a Smile",1,0,"07/23/23 - Seattle"
"Stay Beautiful",1,0,"11/17/23 - Rio de Janeiro"
"Should've Said No",1,2,"05/19/23 - Foxborough"
"Should've Said No",NA,NA,"02/24/24 - Sydney (mashup with ""You're Not Sorry"")"
"Should've Said No",NA,NA,"10/19/24 - Miami (mashup with ""I Did Something Bad"")"
"Mary's Song (Oh My My My)",0,1,"07/06/24 - Amsterdam (mashup with ""So High School"" and ""Everything Has Changed"")"
"Our Song",2,2,"03/24/23 - Las Vegas"
"Our Song",NA,NA,"08/04/23 - Los Angeles"
"Our Song",NA,NA,"05/30/24 - Madrid (mashup with ""Jump Then Fall"")"
"Our Song",NA,NA,"10/25/24 - New Orleans (mashup with ""Call It What You Want"")"
"I'm Only Me When I'm With You",1,0,"06/30/23 - Cincinnati"
"Invisible",1,0,"05/20/23 - Foxborough"
"A Perfectly Good Heart",0,1,"07/10/24 - Zurich (mashup with ""closure"")"
"Fifteen",1,2,"05/06/23 - Nashville"
"Fifteen",NA,NA,"03/07/24 - Singapore (mashup with ""You're On Your Own, Kid"")"
"Fifteen",NA,NA,"06/02/24 - Lyon (mashup with ""You're On Your Own, Kid"")"
"Hey Stephen",1,2,"05/14/23 - Philadelphia"
"Hey Stephen",NA,NA,"05/11/24 - Paris"
"Hey Stephen",NA,NA,"07/18/24 - Gelsenkirchen (mashup with ""Speak Now"")"
"White Horse",1,2,"03/25/23 - Las Vegas"
"White Horse",NA,NA,"02/23/24 - Sydney (mashup with ""coney island"")"
"White Horse",NA,NA,"10/19/24 - Miami (mashup with ""loml"")"
"Breathe",1,0,"06/10/23 - Detroit"
"Tell Me Why",1,1,"08/25/23 - Mexico City"
"Tell Me Why",NA,NA,"03/04/24 - Singapore (mashup with ""Foolish One"")"
"You're Not Sorry",1,1,"04/21/23 - Houston"
"You're Not Sorry",NA,NA,"02/24/24 - Sydney (mashup with ""Should've Said No"")"
"The Way I Loved You",0,1,"05/24/24 - Lisbon (mashup with ""Come Back...Be Here"" and ""The Other Side Of The Door"")"
"Forever & Always",1,1,"05/13/23 - Philadelphia"
"Forever & Always",NA,NA,"02/26/24 - Sydney (mashup with ""Maroon"")"
"The Best Day",1,1,"05/14/23 - Philadelphia"
"The Best Day",NA,NA,"12/07/24 - Vancouver (mashup with ""Never Grow Up"")"
"Change",0,1,"08/19/24 - London (mashup with ""Long Live"")"
"Jump Then Fall",1,1,"04/2/23 - Arlington"
"Jump Then Fall",NA,NA,"05/30/24 - Madrid (mashup with ""Our Song"")"
"Untouchable",1,1,"11/25/23 - São Paulo"
"Untouchable",NA,NA,"07/04/24 - Amsterdam (mashup with ""Guilty as Sin?"")"
"Come In With The Rain",0,1,"02/10/24 - Tokyo"
"Superstar",0,1,"07/17/24 - Gelsenkirchen (mashup with ""invisible string"")"
"The Other Side Of The Door",1,2,"04/28/23 - Atlanta"
"The Other Side Of The Door",NA,NA,"02/17/24 - Melbourne (mashup with ""Getaway Car"" and ""august"")"
"The Other Side Of The Door",NA,NA,"05/24/24 - Lisbon (mashup with ""Come Back...Be Here"" and ""The Way I Loved You"")"
"Today Was A Fairytale",1,1,"04/22/23 - Houston"
"Today Was A Fairytale",NA,NA,"08/03/24 - Warsaw (mashup with ""I Think He Knows"")"
"You All Over Me",1,0,"06/03/23 - Chicago"
"Mr. Perfectly Fine",1,2,"06/16/23 - Pittsburgh"
"Mr. Perfectly Fine",NA,NA,"07/14/24 - Milan (mashup with ""Red"")"
"Mr. Perfectly Fine",NA,NA,"11/21/24 - Toronto (mashup with ""Better Than Revenge"")"
"We Were Happy",0,1,"07/23/24 - Hamburg (mashup with ""happiness"")"
"That's When",0,0,NA
"Don't You",0,1,"07/28/24 - Munich (mashup with ""loml"")"
"Bye Bye Baby",0,0,NA
"If This Was A Movie",1,0,"06/23/23 - Minneapolis"
"Mine",1,3,"05/07/23 - Nashville"
"Mine",NA,NA,"03/02/24 - Singapore (mashup with ""Starlight"")"
"Mine",NA,NA,"06/13/24 - Liverpool (mashup with ""I Can See You"")"
"Mine",NA,NA,"11/15/24 - Toronto (mashup with ""I Don't Wanna Live Forever"")"
"Sparks Fly",1,3,"05/05/23 - Nashville"
"Sparks Fly",NA,NA,"03/08/24 - Singapore (mashup with ""gold rush"")"
"Sparks Fly",NA,NA,"05/29/24 - Madrid (mashup with ""I Can Fix Him (No Really I Can)"") 11/13/24 - Toronto (mashup with ""Message In A Bottle"")"
"Back To December",1,0,"07/15/23 - Denver"
"Speak Now",1,1,"04/13/23 - Tampa"
"Speak Now",NA,NA,"07/18/24 - Gelsenkirchen (mashup with ""Hey Stephen"")"
"Dear John",1,1,"06/24/23 - Minneapolis"
"Dear John",NA,NA,"08/16/24 - London (mashup with ""Sad Beautiful Tragic"")"
"Mean",1,1,"04/15/23 - Tampa"
"Mean",NA,NA,"06/22/24 - London (mashup with ""thanK you aIMee"")"
"The Story Of Us",1,1,"06/17/23 - Pittsburgh"
"The Story Of Us",NA,NA,"03/03/24 - Singapore (mashup with ""long story short"")"
"Never Grow Up",1,2,"07/07/23 - Kansas City"
"Never Grow Up",NA,NA,"07/10/24 - Zurich (mashup with ""Robin"")"
"Never Grow Up",NA,NA,"12/07/24 - Vancouver (mashup with ""The Best Day"")"
"Better Than Revenge",1,1,"11/12/23 - Buenos Aires"
"Better Than Revenge",NA,NA,"11/21/24 - Toronto (mashup with ""Mr. Perfectly Fine"")"
"Innocent",1,0,"11/24/23 - São Paulo"
"Haunted",1,4,"06/09/23 - Detroit"
"Haunted",NA,NA,"02/25/24 - Sydney (mashup with ""exile"")"
"Haunted",NA,NA,"06/09/24 - Edinburgh (mashup with ""exile"")"
"Haunted",NA,NA,"10/25/24 - New Orleans (mashup with ""The Black Dog"")"
"Haunted",NA,NA,"12/07/24 - Vancouver (mashup with ""Wonderland"")"
"Last Kiss",1,2,"07/08/23 - Kansas City"
"Last Kiss",NA,NA,"07/09/24 - Zurich (mashup with ""Sad Beautiful Tragic"")"
"Last Kiss",NA,NA,"12/08/24 - Vancouver (mashup with ""I Love You, I'm Sorry)"
"Long Live",0,3,"05/25/24 - Lisbon (mashup with ""You're On Your Own, Kid"")"
"Long Live",NA,NA,"08/19/24 - London (mashup with ""Change"")"
"Long Live",NA,NA,"12/08/24 - Vancouver (mashup with ""New Year's Day"" and ""The Manuscript"")"
"Ours",1,2,"03/31/23 - Arlington"
"Ours",NA,NA,"06/29/24 - Dublin (mashup with ""This Love"")"
"Ours",NA,NA,"11/22/24 - Toronto (mashup with ""the last great american dynasty"")"
"Superman",0,1,"02/09/24 - Tokyo"
"Electric Touch",0,1,"02/08/24 - Tokyo"
"When Emma Falls in Love",1,0,"07/07/23 - Kansas City"
"I Can See You",1,2,"08/03/23 - Los Angeles"
"I Can See You",NA,NA,"06/13/24 - Liverpool (mashup with ""Mine"")"
"I Can See You",NA,NA,"08/02/24 - Warsaw (mashup with ""I Can Fix Him (No Really I Can)"")"
"Castles Crumbling",1,1,"07/28/23 - Santa Clara"
"Castles Crumbling",NA,NA,"06/22/24 - London"
"Foolish One",0,1,"03/04/24 - Singapore (mashup with ""Tell Me Why"")"
"Timeless",1,1,"07/14/23 - Denver"
